,model_name,params,validation_f1,test_f1,is_winning_variant
67,NMF,"{'n_factors': 100, 'n_epochs': 100, 'reg_pu': 0.02, 'reg_qi': 0.05}",0.7471934656662551,,False
68,NMF,"{'n_factors': 15, 'n_epochs': 100, 'reg_pu': 0.1, 'reg_qi': 0.05}",0.47349981782000616,,False
69,NMF,"{'n_factors': 15, 'n_epochs': 100, 'reg_pu': 0.05, 'reg_qi': 0.1}",0.47137757676565684,,False
70,NMF,"{'n_factors': 100, 'n_epochs': 100, 'reg_pu': 0.1, 'reg_qi': 0.02}",0.6462940395706069,,False
71,NMF,"{'n_factors': 30, 'n_epochs': 50, 'reg_pu': 0.1, 'reg_qi': 0.1}",0.5103372939480494,,False
72,NMF,"{'n_factors': 15, 'n_epochs': 50, 'reg_pu': 0.1, 'reg_qi': 0.02}",0.53191507927505,,False
73,NMF,"{'n_factors': 100, 'n_epochs': 50, 'reg_pu': 0.02, 'reg_qi': 0.1}",0.7526586620926243,,False
74,NMF,"{'n_factors': 30, 'n_epochs': 100, 'reg_pu': 0.02, 'reg_qi': 0.02}",0.7455864306282881,,False
75,NMF,"{'n_factors': 100, 'n_epochs': 50, 'reg_pu': 0.1, 'reg_qi': 0.02}",0.7536946570363802,,False
76,NMF,"{'n_factors': 15, 'n_epochs': 100, 'reg_pu': 0.05, 'reg_qi': 0.02}",0.5373568981001124,,False
77,NMF,"{'n_factors': 100, 'n_epochs': 100, 'reg_pu': 0.1, 'reg_qi': 0.05}",0.5110757202837701,,False
78,NMF,"{'n_factors': 30, 'n_epochs': 50, 'reg_pu': 0.05, 'reg_qi': 0.05}",0.7211126961483595,,False
79,NMF,"{'n_factors': 15, 'n_epochs': 50, 'reg_pu': 0.02, 'reg_qi': 0.02}",0.5942090884915102,,False
80,NMF,"{'n_factors': 30, 'n_epochs': 100, 'reg_pu': 0.05, 'reg_qi': 0.05}",0.5605111886676247,,False
81,NMF,"{'n_factors': 100, 'n_epochs': 100, 'reg_pu': 0.02, 'reg_qi': 0.1}",0.6474123642672367,,False
82,NMF,"{'n_factors': 100, 'n_epochs': 50, 'reg_pu': 0.02, 'reg_qi': 0.05}",0.7215914940613798,,False
83,NMF,"{'n_factors': 100, 'n_epochs': 100, 'reg_pu': 0.02, 'reg_qi': 0.02}",0.75390627000507,,False
